dataset_name,column_name,count,mean,median,std_dev,min,q1,q3,max,iqr,coefficient_of_variation
NFHS_5_FACTSHEETS,MOTHERS_WHO_CONSUMED_IRON_FOLIC_ACID_FOR_100_DAYS_OR_MORE_WHEN_THEY_WERE_PREGNANT_FOR_LAST_BIRTH_IN_THE_5_YEARS_BEFORE_THE_SURVEY,110,52.6914,54.22,20.5993,7.68,40.3575,67.0225,88.43,26.665,0.3909
NFHS_5_FACTSHEETS,MOTHERS_WHO_CONSUMED_IRON_FOLIC_ACID_FOR_180_DAYS_OR_MORE_WHEN_THEY_WERE_PREGNANT_FOR_LAST_BIRTH_IN_THE_5_YEARS_BEFORE_THE_SURVEY,110,32.6007,31.505,18.5323,3.1,17.035,42.55,73.08,25.515,0.5685
NFHS_5_FACTSHEETS,REGISTERED_PREGNANCIES_FOR_WHICH_THE_MOTHER_RECEIVED_A_MOTHER_AND_CHILD_PROTECTION_MCP_CARD_FOR_LAST_BIRTH_IN_THE_5_YEARS_BEFORE_THE_SURVEY,110,94.8322,96.765,7.2009,41.57,94.1975,98.1375,100.0,3.94,0.0759
NFHS_5_FACTSHEETS,MOTHERS_WHO_RECEIVED_POSTNATAL_CARE_FROM_A_DOCTOR_NURSE_LHV_ANM_MIDWIFE_OTHER_HEALTH_PERSONNEL_WITHIN_2_DAYS_OF_DELIVERY_FOR_LAST_BIRTH_IN_THE_5_YEARS_BEFORE_THE_SURVEY,110,80.4483,85.31,13.1886,36.32,73.59,90.2525,97.77,16.6625,0.1639
NFHS_5_FACTSHEETS,AVERAGE_OUT_OF_POCKET_EXPENDITURE_PER_DELIVERY_IN_A_PUBLIC_HEALTH_FACILITY_FOR_LAST_BIRTH_IN_THE_5_YEARS_BEFORE_THE_SURVEY_RS,110,4055.7777,3368.965,2981.9778,-9014.67,2555.0225,5060.08,16197.02,2505.0575,0.7352
NFHS_5_FACTSHEETS,CHILDREN_BORN_AT_HOME_WHO_WERE_TAKEN_TO_A_HEALTH_FACILITY_FOR_A_CHECK_UP_WITHIN_24_HOURS_OF_BIRTH_FOR_LAST_BIRTH_IN_THE_5_YEARS_BEFORE_THE_SURVEY,73,4.2167,3.05,5.0075,-14.2,1.63,7.56,17.22,5.93,1.1875
NFHS_5_FACTSHEETS,CHILDREN_WHO_RECEIVED_POSTNATAL_CARE_FROM_A_DOCTOR_NURSE_LHV_ANM_MIDWIFE_OTHER_HEALTH_PERSONNEL_WITHIN_2_DAYS_OF_DELIVERY_FOR_LAST_BIRTH_IN_THE_5_YEARS_BEFORE_THE_SURVEY,110,79.9565,85.475,14.9543,33.89,73.36,90.4125,100.0,17.0525,0.187
NFHS_5_FACTSHEETS,INSTITUTIONAL_BIRTHS_IN_THE_5_YEARS_BEFORE_THE_SURVEY,110,90.3278,93.65,10.9776,38.8,87.52,97.0075,100.0,9.4875,0.1215
NFHS_5_FACTSHEETS,INSTITUTIONAL_BIRTHS_IN_PUBLIC_FACILITY_IN_THE_5_YEARS_BEFORE_THE_SURVEY,110,64.6326,63.515,15.2387,30.23,53.755,76.3675,98.38,22.6125,0.2358
NFHS_5_FACTSHEETS,HOME_BIRTHS_THAT_WERE_CONDUCTED_BY_SKILLED_HEALTH_PERSONNEL_IN_THE_5_YEARS_BEFORE_THE_SURVEY_10,110,2.5279,1.89,2.4147,0.0,0.8675,3.2325,11.62,2.365,0.9552
NFHS_5_FACTSHEETS,BIRTHS_ATTENDED_BY_SKILLED_HEALTH_PERSONNEL_IN_THE_5_YEARS_BEFORE_THE_SURVEY_10,110,91.3279,93.89,9.0864,48.16,87.7,96.9925,100.0,9.2925,0.0995
NFHS_5_FACTSHEETS,BIRTHS_DELIVERED_BY_CAESAREAN_SECTION_IN_THE_5_YEARS_BEFORE_THE_SURVEY,110,27.228,25.97,13.0558,3.58,17.1925,37.9575,64.34,20.765,0.4795
NFHS_5_FACTSHEETS,BIRTHS_IN_A_PRIVATE_HEALTH_FACILITY_THAT_WERE_DELIVERED_BY_CAESAREAN_SECTION_IN_THE_5_YEARS_BEFORE_THE_SURVEY,103,44.3257,46.65,29.7866,-95.74,37.705,56.795,90.99,19.09,0.672
NFHS_5_FACTSHEETS,BIRTHS_IN_A_PUBLIC_HEALTH_FACILITY_THAT_WERE_DELIVERED_BY_CAESAREAN_SECTION_IN_THE_5_YEARS_BEFORE_THE_SURVEY,110,21.7436,20.0,11.6205,3.5,13.375,30.57,50.91,17.195,0.5344
NFHS_5_FACTSHEETS,CHILDREN_AGE_12_23_MONTHS_FULLY_VACCINATED_BASED_ON_INFORMATION_FROM_EITHER_VACCINATION_CARD_OR_MOTHER_S_RECALL11,107,62.4261,76.34,47.0982,-94.09,68.865,82.005,100.0,13.14,0.7545
NFHS_5_FACTSHEETS,CHILDREN_AGE_12_23_MONTHS_FULLY_VACCINATED_BASED_ON_INFORMATION_FROM_VACCINATION_CARD_ONLY12,104,71.4204,83.765,46.8614,-100.0,78.69,88.58,100.0,9.89,0.6561
