dataset_name,column_name,total_records,q1,q3,iqr,lower_bound,upper_bound,outlier_count,outlier_percentage
NFHS_5_FACTSHEETS,AVERAGE_OUT_OF_POCKET_EXPENDITURE_PER_DELIVERY_IN_A_PUBLIC_HEALTH_FACILITY_FOR_LAST_BIRTH_IN_THE_5_YEARS_BEFORE_THE_SURVEY_RS,110,2555.0225,5060.08,2505.0575,-1202.5637,8817.6663,9,8.18
NFHS_5_FACTSHEETS,CHILDREN_BORN_AT_HOME_WHO_WERE_TAKEN_TO_A_HEALTH_FACILITY_FOR_A_CHECK_UP_WITHIN_24_HOURS_OF_BIRTH_FOR_LAST_BIRTH_IN_THE_5_YEARS_BEFORE_THE_SURVEY,73,1.63,7.56,5.93,-7.265,16.455,2,2.74
NFHS_5_FACTSHEETS,CHILDREN_WHO_RECEIVED_POSTNATAL_CARE_FROM_A_DOCTOR_NURSE_LHV_ANM_MIDWIFE_OTHER_HEALTH_PERSONNEL_WITHIN_2_DAYS_OF_DELIVERY_FOR_LAST_BIRTH_IN_THE_5_YEARS_BEFORE_THE_SURVEY,110,73.36,90.4125,17.0525,47.7812,115.9913,7,6.36
NFHS_5_FACTSHEETS,INSTITUTIONAL_BIRTHS_IN_THE_5_YEARS_BEFORE_THE_SURVEY,110,87.52,97.0075,9.4875,73.2888,111.2388,7,6.36
NFHS_5_FACTSHEETS,INSTITUTIONAL_BIRTHS_IN_PUBLIC_FACILITY_IN_THE_5_YEARS_BEFORE_THE_SURVEY,110,53.755,76.3675,22.6125,19.8363,110.2862,0,0.0
NFHS_5_FACTSHEETS,HOME_BIRTHS_THAT_WERE_CONDUCTED_BY_SKILLED_HEALTH_PERSONNEL_IN_THE_5_YEARS_BEFORE_THE_SURVEY_10,110,0.8675,3.2325,2.365,-2.68,6.78,7,6.36
NFHS_5_FACTSHEETS,BIRTHS_ATTENDED_BY_SKILLED_HEALTH_PERSONNEL_IN_THE_5_YEARS_BEFORE_THE_SURVEY_10,110,87.7,96.9925,9.2925,73.7612,110.9313,4,3.64
NFHS_5_FACTSHEETS,BIRTHS_DELIVERED_BY_CAESAREAN_SECTION_IN_THE_5_YEARS_BEFORE_THE_SURVEY,110,17.1925,37.9575,20.765,-13.955,69.105,0,0.0
NFHS_5_FACTSHEETS,BIRTHS_IN_A_PRIVATE_HEALTH_FACILITY_THAT_WERE_DELIVERED_BY_CAESAREAN_SECTION_IN_THE_5_YEARS_BEFORE_THE_SURVEY,103,37.705,56.795,19.09,9.07,85.43,6,5.83
NFHS_5_FACTSHEETS,BIRTHS_IN_A_PUBLIC_HEALTH_FACILITY_THAT_WERE_DELIVERED_BY_CAESAREAN_SECTION_IN_THE_5_YEARS_BEFORE_THE_SURVEY,110,13.375,30.57,17.195,-12.4175,56.3625,0,0.0
NFHS_5_FACTSHEETS,CHILDREN_AGE_12_23_MONTHS_FULLY_VACCINATED_BASED_ON_INFORMATION_FROM_EITHER_VACCINATION_CARD_OR_MOTHER_S_RECALL11,107,68.865,82.005,13.14,49.155,101.715,10,9.35
NFHS_5_FACTSHEETS,CHILDREN_AGE_12_23_MONTHS_FULLY_VACCINATED_BASED_ON_INFORMATION_FROM_VACCINATION_CARD_ONLY12,104,78.69,88.58,9.89,63.855,103.415,8,7.69
