A_1_NUMBER_OF_VILLAGES_TOWNS_HOUSEHOLDS_POPULATION_AND_AREA,COLUMN_2,COLUMN_3,COLUMN_4,COLUMN_5,COLUMN_6,COLUMN_7,COLUMN_8,COLUMN_9,COLUMN_10,COLUMN_11,COLUMN_12,COLUMN_13,COLUMN_14,COLUMN_15
,,,India/ State/ Union Territory/ District/ Sub-district,Name,"Total/
Rural/
Urban",,,,,,,,,
,,,,,,,,,,,,,,
1.0,6.0,21.0,SUB-DISTRICT,Darhal,Rural,11.0,1.0,0.0,7612.0,36227.0,19121.0,17106.0,80.3,451.0
1.0,6.0,21.0,SUB-DISTRICT,Darhal,Urban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,6.0,22.0,SUB-DISTRICT,Rajauri,Total,118.0,3.0,1.0,36640.0,189067.0,103307.0,85760.0,593.49,319.0
1.0,6.0,22.0,SUB-DISTRICT,Rajauri,Rural,118.0,3.0,0.0,32276.0,159581.0,84130.0,75451.0,580.6,275.0
1.0,6.0,22.0,SUB-DISTRICT,Rajauri,Urban,0.0,0.0,1.0,4364.0,29486.0,19177.0,10309.0,12.89,2288.0
1.0,6.0,23.0,SUB-DISTRICT,Budhal,Total,51.0,1.0,0.0,23676.0,123050.0,64990.0,58060.0,468.25,263.0
1.0,6.0,23.0,SUB-DISTRICT,Budhal,Rural,51.0,1.0,0.0,23676.0,123050.0,64990.0,58060.0,468.25,263.0
1.0,6.0,23.0,SUB-DISTRICT,Budhal,Urban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,6.0,24.0,SUB-DISTRICT,Kalakote,Total,68.0,1.0,0.0,16243.0,72667.0,37864.0,34803.0,412.96,176.0
1.0,6.0,24.0,SUB-DISTRICT,Kalakote,Rural,68.0,1.0,0.0,16243.0,72667.0,37864.0,34803.0,412.96,176.0
1.0,6.0,24.0,SUB-DISTRICT,Kalakote,Urban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,6.0,25.0,SUB-DISTRICT,Nowshehra,Total,52.0,4.0,1.0,18323.0,89416.0,50146.0,39270.0,482.03,185.0
1.0,6.0,25.0,SUB-DISTRICT,Nowshehra,Rural,52.0,4.0,0.0,17040.0,79008.0,42417.0,36591.0,477.4,165.0
1.0,6.0,25.0,SUB-DISTRICT,Nowshehra,Urban,0.0,0.0,1.0,1283.0,10408.0,7729.0,2679.0,4.63,2248.0
1.0,6.0,26.0,SUB-DISTRICT,Sunderbani,Total,43.0,0.0,1.0,14263.0,64215.0,34451.0,29764.0,333.43,193.0
1.0,6.0,26.0,SUB-DISTRICT,Sunderbani,Rural,43.0,0.0,0.0,13125.0,57285.0,29853.0,27432.0,333.24,172.0
1.0,6.0,26.0,SUB-DISTRICT,Sunderbani,Urban,0.0,0.0,1.0,1138.0,6930.0,4598.0,2332.0,0.19,36474.0
1.0,7.0,0.0,DISTRICT,Kathua,Total,496.0,16.0,6.0,119583.0,616435.0,326109.0,290326.0,2502.0,246.0
1.0,7.0,0.0,DISTRICT,Kathua,Rural,496.0,16.0,0.0,101651.0,526722.0,278126.0,248596.0,2458.84,214.0
1.0,7.0,0.0,DISTRICT,Kathua,Urban,0.0,0.0,6.0,17932.0,89713.0,47983.0,41730.0,43.16,2079.0
1.0,7.0,27.0,SUB-DISTRICT,Billawar,Total,65.0,1.0,1.0,28687.0,150882.0,79699.0,71183.0,675.12,223.0
1.0,7.0,27.0,SUB-DISTRICT,Billawar,Rural,65.0,1.0,0.0,27785.0,145904.0,77072.0,68832.0,668.77,218.0
1.0,7.0,27.0,SUB-DISTRICT,Billawar,Urban,0.0,0.0,1.0,902.0,4978.0,2627.0,2351.0,6.35,784.0
1.0,7.0,28.0,SUB-DISTRICT,Bashohli,Total,38.0,1.0,1.0,13312.0,70810.0,37177.0,33633.0,344.24,206.0
1.0,7.0,28.0,SUB-DISTRICT,Bashohli,Rural,38.0,1.0,0.0,12206.0,65377.0,34351.0,31026.0,341.63,191.0
1.0,7.0,28.0,SUB-DISTRICT,Bashohli,Urban,0.0,0.0,1.0,1106.0,5433.0,2826.0,2607.0,2.61,2082.0
1.0,7.0,29.0,SUB-DISTRICT,Bani,Total,33.0,0.0,0.0,8096.0,45996.0,23889.0,22107.0,468.12,98.0
1.0,7.0,29.0,SUB-DISTRICT,Bani,Rural,33.0,0.0,0.0,8096.0,45996.0,23889.0,22107.0,468.12,98.0
1.0,7.0,29.0,SUB-DISTRICT,Bani,Urban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,7.0,30.0,SUB-DISTRICT,Kathua,Total,163.0,8.0,3.0,41206.0,210949.0,112702.0,98247.0,563.89,374.0
1.0,7.0,30.0,SUB-DISTRICT,Kathua,Rural,163.0,8.0,0.0,27005.0,139941.0,74698.0,65243.0,533.69,262.0
1.0,7.0,30.0,SUB-DISTRICT,Kathua,Urban,0.0,0.0,3.0,14201.0,71008.0,38004.0,33004.0,30.2,2351.0
1.0,7.0,31.0,SUB-DISTRICT,Hiranagar,Total,197.0,6.0,1.0,28282.0,137798.0,72642.0,65156.0,388.92,354.0
1.0,7.0,31.0,SUB-DISTRICT,Hiranagar,Rural,197.0,6.0,0.0,26559.0,129504.0,68116.0,61388.0,384.92,336.0
1.0,7.0,31.0,SUB-DISTRICT,Hiranagar,Urban,0.0,0.0,1.0,1723.0,8294.0,4526.0,3768.0,4.0,2074.0
1.0,8.0,0.0,DISTRICT,Baramula,Total,509.0,9.0,7.0,152635.0,1008039.0,534733.0,473306.0,4243.0,238.0
1.0,8.0,0.0,DISTRICT,Baramula,Rural,509.0,9.0,0.0,125346.0,825539.0,432399.0,393140.0,4179.44,198.0
1.0,8.0,0.0,DISTRICT,Baramula,Urban,0.0,0.0,7.0,27289.0,182500.0,102334.0,80166.0,63.56,2871.0
1.0,8.0,32.0,SUB-DISTRICT,Sopore,Total,57.0,1.0,1.0,33709.0,219913.0,113426.0,106487.0,170.09,1293.0
1.0,8.0,32.0,SUB-DISTRICT,Sopore,Rural,57.0,1.0,0.0,22517.0,148621.0,75856.0,72765.0,151.19,983.0
1.0,8.0,32.0,SUB-DISTRICT,Sopore,Urban,0.0,0.0,1.0,11192.0,71292.0,37570.0,33722.0,18.9,3772.0
1.0,8.0,33.0,SUB-DISTRICT,Rafiabad,Total,77.0,0.0,1.0,14178.0,92639.0,47728.0,44911.0,113.34,817.0
1.0,8.0,33.0,SUB-DISTRICT,Rafiabad,Rural,77.0,0.0,0.0,13246.0,85624.0,43789.0,41835.0,107.34,798.0
1.0,8.0,33.0,SUB-DISTRICT,Rafiabad,Urban,0.0,0.0,1.0,932.0,7015.0,3939.0,3076.0,6.0,1169.0
1.0,8.0,34.0,SUB-DISTRICT,Pattan,Total,94.0,1.0,1.0,28428.0,229155.0,123266.0,105889.0,181.34,1264.0
1.0,8.0,34.0,SUB-DISTRICT,Pattan,Rural,94.0,1.0,0.0,26341.0,209617.0,110686.0,98931.0,181.06,1158.0
1.0,8.0,34.0,SUB-DISTRICT,Pattan,Urban,0.0,0.0,1.0,2087.0,19538.0,12580.0,6958.0,0.28,69779.0
1.0,8.0,35.0,SUB-DISTRICT,Baramulla,Total,42.0,0.0,1.0,24196.0,149649.0,79675.0,69974.0,122.36,1223.0
1.0,8.0,35.0,SUB-DISTRICT,Baramulla,Rural,42.0,0.0,0.0,12471.0,78215.0,40998.0,37217.0,98.38,795.0
1.0,8.0,35.0,SUB-DISTRICT,Baramulla,Urban,0.0,0.0,1.0,11725.0,71434.0,38677.0,32757.0,23.98,2979.0
1.0,8.0,36.0,SUB-DISTRICT,Kreeri,Total,50.0,0.0,0.0,11402.0,66954.0,34447.0,32507.0,84.19,795.0
1.0,8.0,36.0,SUB-DISTRICT,Kreeri,Rural,50.0,0.0,0.0,11402.0,66954.0,34447.0,32507.0,84.19,795.0
1.0,8.0,36.0,SUB-DISTRICT,Kreeri,Urban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,8.0,37.0,SUB-DISTRICT,Uri,Total,41.0,7.0,1.0,12109.0,74867.0,41827.0,33040.0,160.05,468.0
1.0,8.0,37.0,SUB-DISTRICT,Uri,Rural,41.0,7.0,0.0,11139.0,65501.0,35153.0,30348.0,155.15,422.0
1.0,8.0,37.0,SUB-DISTRICT,Uri,Urban,0.0,0.0,1.0,970.0,9366.0,6674.0,2692.0,4.9,1911.0
1.0,8.0,38.0,SUB-DISTRICT,Boniyar,Total,52.0,0.0,0.0,11912.0,72564.0,39566.0,32998.0,95.59,759.0
1.0,8.0,38.0,SUB-DISTRICT,Boniyar,Rural,52.0,0.0,0.0,11912.0,72564.0,39566.0,32998.0,95.59,759.0
